epoch,loss,mae_wrap_angle,val_loss,val_mae_wrap_angle
0,590.4463749696819,15.443998407151964,350.6112109952032,12.079159644477365
1,325.12830065678617,11.567162575665643,302.36444846278727,11.155230068158115
2,292.0442875705295,10.875968545103385,282.0594664308173,10.5806975756647
3,276.34662331415313,10.503915940527822,268.84453791969617,10.309409464485249
4,264.66038300876994,10.210751549963858,258.6182008163621,10.039044965438029
5,252.7140756971571,9.91133415242114,245.7770087587811,9.686250758255857
6,244.73488739931193,9.683311389997893,242.64247915191746,9.651272036096238
7,237.74313335503473,9.497977655248704,236.33819185283687,9.475908774108824
8,231.92249909683926,9.34825117427851,230.37196431801274,9.267881045354457
9,227.37093143478094,9.212433999903062,221.7754237756049,9.022620776387294
10,220.92759298726,9.048869254517399,219.81771725477273,9.067599346038811
11,215.70903083272697,8.914669260212019,215.59556370224323,8.857214034837899
12,211.71029128689236,8.799498470281463,207.98416329507324,8.66603642890354
13,208.3711550300947,8.695181523017634,210.00882507911464,8.695577413012009
14,204.946249742296,8.590507334316477,208.00747455979112,8.620661786399959
15,202.43369308651194,8.506387316660165,200.40846068608263,8.407278903381917
16,199.4980349599801,8.412573520959592,198.4294510382385,8.4197871747363
17,196.57250168584687,8.322776557124518,195.55336348328774,8.264336041041783
18,193.98366337954454,8.249411438013214,192.19503879926114,8.170568295737935
19,191.87369606407015,8.183170919380936,190.22199148893407,8.077553385547255
20,190.01580824748518,8.12404905498729,190.8207932843047,8.14216362554841
21,190.39291731212342,8.105550757289713,190.4024265068292,8.125074786836695
22,188.90996893829146,8.06374692757301,192.64937740119274,8.246288449064604
23,187.0696057583678,8.014641804888358,186.81228167899505,7.990217125283652
24,185.49070373654834,7.956976140090843,194.60312654662397,8.195073216611235
25,185.6756234250536,7.934092088163289,186.22653611547602,7.951080096164425
26,183.81948677212586,7.888971288868025,184.41491540917988,7.916060163345928
27,181.01253156754237,7.819648363275466,184.65519987551943,7.983964567876615
28,179.2877623650046,7.775405807295656,177.7887247129854,7.712998367856921
29,178.85996416079453,7.752628582474453,177.8353784844806,7.704757912242245
30,177.8493293999566,7.72672434017705,177.03209567553725,7.698498722400358
31,176.27335827915965,7.688082112156488,176.2991825080621,7.74206968950592
32,175.5531318323472,7.66401092943179,174.31444395089642,7.595933145420543
33,174.72861224205664,7.640898227816313,173.27112591952317,7.561788417035829
34,174.28692047717524,7.619687528148975,173.672609869792,7.573547037942867
35,173.81652780610128,7.605505027596467,173.486817563186,7.6401360028459795
36,172.51421868178423,7.570088599859499,179.10716875336007,7.699445390571637
37,175.15375282636654,7.623284388324015,171.6631958464204,7.483924765687586
38,171.90188849435444,7.53693524967767,170.6900030892904,7.470314422528431
39,170.93088859647864,7.51205330573188,169.70982766645122,7.413944454528227
40,170.34705531340956,7.495388164694792,169.43914948275736,7.474121321746181
41,170.19408121744792,7.479030088861005,170.96049852337305,7.575263713049954
42,169.80113060206992,7.462357515173021,174.0940260002489,7.647722061945538
43,168.9737632621815,7.445646026860655,167.84882476174715,7.3812084657780375
44,168.37247698136872,7.432822366801742,169.59686170784258,7.508069698841994
45,167.33147585161996,7.407386723661735,168.42795441784486,7.459077149299218
46,167.6664431970135,7.407435535480774,170.76584353164708,7.5629065681566034
47,166.88058935866013,7.389595705717997,168.42070484620163,7.452814244296455
48,166.78098296640434,7.385926888609244,165.62200644644102,7.317148714578194
49,166.94628154799517,7.3849019382202545,166.68893938956214,7.3926161354342605
50,166.37066055437475,7.375897256439807,166.21057739608884,7.319666764646912
51,165.6428690680211,7.354917907515382,163.7766343184381,7.296715371355904
52,167.10926308785233,7.371062110053169,163.42772725784886,7.263116103389527
53,165.61490664413552,7.3477940057492726,164.61670915084613,7.259373689989395
54,165.25427162120545,7.342096861371807,166.07688677368293,7.358922656274096
55,164.49999355859694,7.327951197131786,163.58822224434886,7.310511270095005
56,164.67495172916986,7.326075534845489,162.3519694989158,7.2391407855308545
57,164.66741233516518,7.323762664371067,163.8764790828396,7.2475923793731285
58,163.77395314494612,7.3050067940506285,162.5809495978165,7.279054950605599
59,163.57291923453138,7.298321909661387,162.8053585244781,7.259485217124142
60,163.76490346193003,7.294642209620258,162.42275545861875,7.272204067088201
61,163.36525966230406,7.2867942500394935,163.88496245252765,7.378921634755457
62,164.00725409095116,7.294828119764141,165.18380626557985,7.338036897316609
63,164.06538652766608,7.295747622595893,162.24560188464204,7.208500665143254
64,163.21572197927836,7.2794712763268965,166.923251618204,7.459010520157917
65,162.2848598110224,7.263104165769091,160.24622812213272,7.164511241067082
66,162.35301315167993,7.2621872810164305,165.0609701524043,7.392248665730441
67,162.13221026611328,7.258414581523222,162.60854461676306,7.2575139292262385
68,162.89311605575662,7.262787724787893,161.45626315779327,7.3122602183308665
69,163.61643097961027,7.275935271618413,161.85861246587342,7.2515480350286134
70,163.20516391809002,7.2664327969270595,161.66114574465087,7.284754309288205
71,161.69781031948912,7.243043591393365,163.10901928606253,7.292251693830907
72,161.28287890026616,7.232775809094797,160.15139333584946,7.19599175308569
73,162.84301411108876,7.250156726438235,162.8742141835337,7.263827025204666
74,161.32699222699333,7.227576841267106,163.11706994094004,7.261731399200222
75,161.53056415672552,7.230747532439388,161.90104191294776,7.238317492915307
76,161.42045998128256,7.228880615134645,159.76091180070128,7.172635484654343
77,160.7303244960012,7.215878848730349,160.4430978468237,7.256977085088791
78,160.4469100577161,7.208593367483101,159.7723493242932,7.216690700988195
79,160.5455571739845,7.210408528795429,162.079980848225,7.219290418969964
80,162.33899370061337,7.229909357731638,167.0331733973299,7.233983801638474
81,162.77286443493412,7.240075463313683,158.95505452031398,7.136732908203821
82,160.2996065494313,7.201951983832067,159.33099084059032,7.171659073054704
83,160.44575220324947,7.200232321545968,161.58099747581778,7.273951202923971
84,159.91787628094045,7.19039630528369,158.24992723271478,7.129341670744241
85,159.53594087009805,7.179129672231237,157.26601648959024,7.078534282966778
86,159.2199990748985,7.16776102130865,157.8782739118661,7.088110549358662
87,158.95811157984517,7.163504974689359,158.06312657419895,7.112464667613275
88,160.3669136404399,7.180668581295636,159.17454898230227,7.140675349356215
89,159.68432251056348,7.179473840152516,158.8118547935462,7.147033713946555
90,159.397523354923,7.163844482421875,162.91018100204738,7.219285094570949
91,160.04521659502018,7.1822648933759705,157.8275849805719,7.103847574973251
92,158.68801599559907,7.149284532733992,157.389493545312,7.065328809462489
93,158.14653137925092,7.139375024758134,156.89764530203428,7.084656347367734
94,158.31515731392653,7.1385433387507025,156.61448840979278,7.052978208737751
95,158.24741645045063,7.13509031816869,160.9889650949248,7.188076910028097
96,158.02439575195314,7.129176482655644,160.41565090451522,7.289753285244254
97,158.9141765846801,7.139366293963264,156.43662675587458,7.022785751472031
98,158.5641382653729,7.132149131226384,158.37839589919835,7.087253988948583
99,157.7190983025046,7.117581427056805,157.9536150764955,7.134339376564082
